H_team_id,H_ml_open,H_ml_close,H_streak,A_team_id,A_ml_open,A_ml_close,A_streak
COL,-103,100,3,PHI,-107,-120,2
SDG,-135,-175,-3,CIN,125,155,-4
MIL,-102,-110,-1,LAD,-108,-110,4
NYY,-190,-220,2,KAN,180,180,1
TAM,-240,-255,3,BAL,220,215,-2
LAA,-115,-125,-3,SEA,105,105,-6
