H_team_id,H_ml_open,H_ml_close,H_streak,A_team_id,A_ml_open,A_ml_close,A_streak
WAS,-155,-155,-3,STL,145,135,5
CWS,146,170,1,BOS,-156,-200,3
LAA,-130,-160,3,TOR,120,140,-2
