H_team_id,H_ml_open,H_ml_close,H_streak,A_team_id,A_ml_open,A_ml_close,A_streak
WAS,-122,-130,0,NYM,112,110,0
MIL,-115,100,0,STL,105,-120,0
PHI,-185,-200,0,ATL,175,170,0
CIN,-118,-115,0,PIT,108,-105,0
LAD,-155,-170,0,ARI,145,150,0
SDG,-105,-115,0,SFO,-105,-105,0
MIA,133,120,0,COL,-143,-140,0
NYY,-325,-390,0,BAL,295,300,0
TOR,-147,-140,0,DET,137,120,0
TAM,113,115,0,HOU,-123,-135,0
OAK,-119,-120,0,LAA,109,100,0
MIN,109,105,0,CLE,-119,-125,0
KAN,-110,-110,0,CWS,100,-110,0
SEA,173,175,0,BOS,-183,-210,0
TEX,123,110,0,CUB,-133,-130,0
