H_team_id,H_ml_open,H_ml_close,H_streak,A_team_id,A_ml_open,A_ml_close,A_streak
PHI,-135,120,1,WAS,125,-140,1
STL,116,-115,1,LAD,-126,-105,5
COL,-137,-125,-3,ATL,127,105,1
SFO,-130,-130,-1,SDG,120,110,-1
BAL,125,130,-4,OAK,-135,-150,-3
HOU,-152,-160,3,NYY,142,140,3
KAN,118,-105,-6,SEA,-128,115,2
