H_team_id,H_ml_open,H_ml_close,H_streak,A_team_id,A_ml_open,A_ml_close,A_streak
SDG,-130,-145,-2,ARI,120,125,2
MIA,190,185,-2,NYM,-210,-225,2
PIT,-107,-110,-1,STL,-103,-110,1
ATL,104,-130,1,CUB,-114,110,-3
LAD,-215,-190,1,SFO,195,165,-1
NYY,-185,-175,-1,DET,175,155,1
TOR,-160,-155,-3,BAL,150,135,4
TEX,155,190,1,HOU,-165,-230,-1
OAK,118,120,4,BOS,-128,-140,-4
