A_given,A_calc,A_diff,H_given,H_calc,H_diff,Result
0.512,0.512,0,0.512,0.488,-0.024,0
0.636,0.631,-0.005,0.392,0.369,-0.023,0
0.507,0.5,-0.007,0.517,0.5,-0.017,1
0.592,0.622,0.03,0.435,0.378,-0.057,0
0.558,0.544,-0.014,0.474,0.456,-0.018,0
0.552,0.463,-0.089,0.469,0.537,0.068,0
0.502,0.486,-0.016,0.522,0.514,-0.008,1
0.512,0.499,-0.013,0.512,0.501,-0.011,1
0.512,0.572,0.06,0.512,0.428,-0.084,1
0.55,0.546,-0.004,0.472,0.454,-0.018,1
0.535,0.505,-0.03,0.488,0.495,0.007,0
0.667,0.647,-0.02,0.364,0.353,-0.011,0
0.519,0.56,0.041,0.505,0.44,-0.065,0
0.701,0.676,-0.025,0.328,0.324,-0.004,0
0.614,0.586,-0.028,0.41,0.414,0.004,0
0.558,0.522,-0.036,0.474,0.478,0.004,0
0.554,0.626,0.072,0.467,0.374,-0.093,1
0.588,0.569,-0.019,0.439,0.431,-0.008,1
0.588,0.588,0,0.439,0.412,-0.027,0
0.559,0.561,0.002,0.472,0.439,-0.033,0
0.552,0.548,-0.004,0.469,0.452,-0.017,1
0.597,0.582,-0.015,0.429,0.418,-0.011,1
0.706,0.797,0.091,0.323,0.203,-0.12,1
0.583,0.592,0.009,0.444,0.408,-0.036,1
0.435,0.338,-0.097,0.592,0.662,0.07,1
0.677,0.665,-0.012,0.351,0.335,-0.016,1
0.649,0.544,-0.105,0.377,0.456,0.079,0
0.617,0.629,0.012,0.415,0.371,-0.044,0
0.424,0.379,-0.045,0.602,0.621,0.019,1
0.587,0.581,-0.006,0.441,0.419,-0.022,1
0.543,0.503,-0.04,0.478,0.497,0.019,0
0.502,0.481,-0.021,0.522,0.519,-0.003,1
0.49,0.462,-0.028,0.533,0.538,0.005,1
0.672,0.643,-0.029,0.357,0.357,0,0
0.426,0.463,0.037,0.6,0.537,-0.063,0
0.535,0.549,0.014,0.488,0.451,-0.037,1
0.543,0.573,0.03,0.478,0.427,-0.051,1
0.583,0.531,-0.052,0.444,0.469,0.025,1
0.759,0.676,-0.083,0.267,0.324,0.057,0
0.583,0.601,0.018,0.444,0.399,-0.045,0
0.356,0.283,-0.073,0.673,0.717,0.044,1
0.592,0.595,0.003,0.435,0.405,-0.03,1
0.507,0.51,0.003,0.517,0.49,-0.027,0
0.507,0.505,-0.002,0.517,0.495,-0.022,1
0.472,0.511,0.039,0.55,0.489,-0.061,1
0.554,0.584,0.03,0.467,0.416,-0.051,0
0.59,0.613,0.023,0.437,0.387,-0.05,0
0.569,0.559,-0.01,0.461,0.441,-0.02,0
0.597,0.565,-0.032,0.429,0.435,0.006,0
0.559,0.57,0.011,0.472,0.43,-0.042,1
0.512,0.509,-0.003,0.512,0.491,-0.021,0
0.472,0.464,-0.008,0.55,0.536,-0.014,0
0.559,0.548,-0.011,0.472,0.452,-0.02,1
0.426,0.324,-0.102,0.6,0.676,0.076,0
0.556,0.522,-0.034,0.476,0.478,0.002,0
0.639,0.615,-0.024,0.389,0.385,-0.004,0
0.697,0.706,0.009,0.328,0.294,-0.034,1
0.528,0.572,0.044,0.495,0.428,-0.067,1
0.592,0.573,-0.019,0.435,0.427,-0.008,0
0.561,0.61,0.049,0.469,0.39,-0.079,0
0.502,0.489,-0.013,0.522,0.511,-0.011,0
