A_given,A_calc,A_diff,H_given,H_calc,H_diff,Result
0.617,0.647,0.03,0.415,0.353,-0.062,0
0.609,0.61,0.001,0.415,0.39,-0.025,0
0.472,0.249,-0.223,0.55,0.751,0.201,1
0.528,0.506,-0.022,0.495,0.494,-0.001,1
0.537,0.463,-0.074,0.485,0.537,0.052,0
0.587,0.563,-0.024,0.441,0.437,-0.004,1
0.426,0.472,0.046,0.6,0.528,-0.072,1
0.643,0.603,-0.04,0.385,0.397,0.012,0
0.543,0.569,0.026,0.478,0.431,-0.047,0
0.559,0.556,-0.003,0.472,0.444,-0.028,1
0.661,0.654,-0.007,0.364,0.346,-0.018,0
0.433,0.462,0.029,0.593,0.538,-0.055,1
0.643,0.649,0.006,0.385,0.351,-0.034,0
0.583,0.417,-0.166,0.444,0.583,0.139,1
0.533,0.508,-0.025,0.49,0.492,0.002,1
0.672,0.679,0.007,0.357,0.321,-0.036,0
0.661,0.611,-0.05,0.364,0.389,0.025,0
0.472,0.439,-0.033,0.55,0.561,0.011,1
0.493,0.487,-0.006,0.531,0.513,-0.018,0
0.474,0.448,-0.026,0.548,0.552,0.004,0
0.609,0.589,-0.02,0.415,0.411,-0.004,1
0.426,0.424,-0.002,0.6,0.576,-0.024,0
0.649,0.66,0.011,0.377,0.34,-0.037,0
0.29,0.317,0.027,0.737,0.683,-0.054,0
0.683,0.582,-0.101,0.345,0.418,0.073,1
0.328,0.346,0.018,0.697,0.654,-0.043,0
0.507,0.54,0.033,0.517,0.46,-0.057,0
0.639,0.626,-0.013,0.389,0.374,-0.015,0
0.634,0.405,-0.229,0.395,0.595,0.2,0
0.543,0.556,0.013,0.478,0.444,-0.034,0
0.512,0.493,-0.019,0.512,0.507,-0.005,1
0.472,0.433,-0.039,0.559,0.567,0.008,1
0.612,0.593,-0.019,0.412,0.407,-0.005,1
0.592,0.595,0.003,0.435,0.405,-0.03,0
0.42,0.413,-0.007,0.605,0.587,-0.018,1
0.609,0.593,-0.016,0.415,0.407,-0.008,1
0.59,0.611,0.021,0.437,0.389,-0.048,0
0.507,0.5,-0.007,0.517,0.5,-0.017,0
0.762,0.716,-0.046,0.263,0.284,0.021,0
0.645,0.645,0,0.382,0.355,-0.027,0
0.558,0.568,0.01,0.474,0.432,-0.042,1
0.639,0.633,-0.006,0.389,0.367,-0.022,0
0.412,0.376,-0.036,0.62,0.624,0.004,1
0.498,0.519,0.021,0.526,0.481,-0.045,0
0.647,0.634,-0.013,0.38,0.366,-0.014,1
0.515,0.5,-0.015,0.51,0.5,-0.01,0
0.535,0.529,-0.006,0.488,0.471,-0.017,1
0.41,0.388,-0.022,0.621,0.612,-0.009,0
0.593,0.569,-0.024,0.433,0.431,-0.002,0
0.524,0.501,-0.023,0.5,0.499,-0.001,0
0.588,0.613,0.025,0.439,0.387,-0.052,1
0.474,0.415,-0.059,0.558,0.585,0.027,1
0.722,0.708,-0.014,0.303,0.292,-0.011,1
0.649,0.501,-0.148,0.377,0.499,0.122,1
0.697,0.693,-0.004,0.328,0.307,-0.021,0
0.648,0.663,0.015,0.379,0.337,-0.042,0
0.548,0.518,-0.03,0.474,0.482,0.008,0
0.642,0.661,0.019,0.386,0.339,-0.047,0
0.585,0.555,-0.03,0.442,0.445,0.003,1
0.548,0.537,-0.011,0.474,0.463,-0.011,0
0.688,0.721,0.033,0.339,0.279,-0.06,0
0.588,0.574,-0.014,0.439,0.426,-0.013,0
0.528,0.511,-0.017,0.495,0.489,-0.006,1
0.476,0.49,0.014,0.545,0.51,-0.035,0
0.669,0.675,0.006,0.361,0.325,-0.036,0
0.661,0.638,-0.023,0.364,0.362,-0.002,0
0.636,0.614,-0.022,0.392,0.386,-0.006,0
0.765,0.777,0.012,0.263,0.223,-0.04,1
0.502,0.453,-0.049,0.522,0.547,0.025,0
0.63,0.621,-0.009,0.4,0.379,-0.021,1
0.595,0.629,0.034,0.431,0.371,-0.06,1
0.583,0.512,-0.071,0.444,0.488,0.044,1
0.605,0.614,0.009,0.42,0.386,-0.034,0
0.683,0.642,-0.041,0.345,0.358,0.013,1
0.6,0.57,-0.03,0.426,0.43,0.004,0
0.655,0.673,0.018,0.37,0.327,-0.043,0
0.652,0.672,0.02,0.375,0.328,-0.047,1
0.683,0.691,0.008,0.345,0.309,-0.036,1
0.587,0.584,-0.003,0.441,0.416,-0.025,0
0.476,0.489,0.013,0.545,0.511,-0.034,0
0.481,0.502,0.021,0.541,0.498,-0.043,1
0.587,0.547,-0.04,0.441,0.453,0.012,1
0.643,0.692,0.049,0.385,0.308,-0.077,0
0.71,0.674,-0.036,0.317,0.326,0.009,0
0.648,0.636,-0.012,0.379,0.364,-0.015,1
0.697,0.678,-0.019,0.328,0.322,-0.006,0
0.636,0.58,-0.056,0.392,0.42,0.028,1
0.531,0.52,-0.011,0.493,0.48,-0.013,1
0.672,0.644,-0.028,0.357,0.356,-0.001,0
0.537,0.523,-0.014,0.485,0.477,-0.008,1
0.517,0.518,0.001,0.507,0.482,-0.025,0
0.636,0.611,-0.025,0.392,0.389,-0.003,0
0.6,0.582,-0.018,0.426,0.418,-0.008,1
0.661,0.642,-0.019,0.364,0.358,-0.006,0
0.605,0.594,-0.011,0.42,0.406,-0.014,0
0.4,0.38,-0.02,0.63,0.62,-0.01,0
0.522,0.503,-0.019,0.502,0.497,-0.005,1
0.569,0.518,-0.051,0.461,0.482,0.021,0
0.485,0.443,-0.042,0.537,0.557,0.02,0
0.63,0.626,-0.004,0.4,0.374,-0.026,0
0.597,0.595,-0.002,0.429,0.405,-0.024,1
0.522,0.518,-0.004,0.502,0.482,-0.02,1
0.556,0.553,-0.003,0.476,0.447,-0.029,0
0.588,0.591,0.003,0.439,0.409,-0.03,1
0.541,0.516,-0.025,0.481,0.484,0.003,1
0.541,0.524,-0.017,0.481,0.476,-0.005,1
0.573,0.558,-0.015,0.457,0.442,-0.015,0
0.73,0.732,0.002,0.299,0.268,-0.031,1
0.355,0.379,0.024,0.674,0.621,-0.053,0
0.733,0.675,-0.058,0.294,0.325,0.031,0
0.524,0.558,0.034,0.5,0.442,-0.058,1
0.603,0.618,0.015,0.422,0.382,-0.04,1
0.467,0.476,0.009,0.554,0.524,-0.03,0
0.649,0.65,0.001,0.377,0.35,-0.027,0
0.592,0.593,0.001,0.435,0.407,-0.028,0
0.517,0.427,-0.09,0.507,0.573,0.066,1
0.661,0.674,0.013,0.364,0.326,-0.038,0
0.517,0.505,-0.012,0.507,0.495,-0.012,0
0.63,0.61,-0.02,0.4,0.39,-0.01,0
0.661,0.645,-0.016,0.364,0.355,-0.009,0
0.634,0.624,-0.01,0.395,0.376,-0.019,0
0.493,0.458,-0.035,0.531,0.542,0.011,1
0.744,0.707,-0.037,0.282,0.293,0.011,1
0.442,0.437,-0.005,0.585,0.563,-0.022,1
0.583,0.568,-0.015,0.444,0.432,-0.012,0
0.624,0.592,-0.032,0.407,0.408,0.001,0
0.4,0.363,-0.037,0.63,0.637,0.007,0
0.351,0.37,0.019,0.677,0.63,-0.047,1
0.705,0.706,0.001,0.324,0.294,-0.03,0
0.615,0.605,-0.01,0.417,0.395,-0.022,0
0.722,0.718,-0.004,0.303,0.282,-0.021,1
0.55,0.538,-0.012,0.472,0.462,-0.01,0
0.652,0.645,-0.007,0.375,0.355,-0.02,0
0.628,0.643,0.015,0.402,0.357,-0.045,1
0.677,0.661,-0.016,0.351,0.339,-0.012,1
0.483,0.461,-0.022,0.539,0.539,0,0
0.614,0.664,0.05,0.41,0.336,-0.074,1
0.648,0.623,-0.025,0.379,0.377,-0.002,0
0.493,0.479,-0.014,0.531,0.521,-0.01,1
0.582,0.539,-0.043,0.446,0.461,0.015,0
0.422,0.379,-0.043,0.603,0.621,0.018,1
0.583,0.595,0.012,0.444,0.405,-0.039,1
0.672,0.685,0.013,0.357,0.315,-0.042,1
0.697,0.693,-0.004,0.328,0.307,-0.021,0
0.718,0.701,-0.017,0.308,0.299,-0.009,0
0.583,0.554,-0.029,0.444,0.446,0.002,0
0.585,0.577,-0.008,0.442,0.423,-0.019,1
0.697,0.668,-0.029,0.328,0.332,0.004,0
0.667,0.658,-0.009,0.364,0.342,-0.022,0
0.661,0.637,-0.024,0.364,0.363,-0.001,0
0.472,0.44,-0.032,0.55,0.56,0.01,1
0.62,0.602,-0.018,0.412,0.398,-0.014,1
0.62,0.613,-0.007,0.412,0.387,-0.025,1
0.488,0.482,-0.006,0.535,0.518,-0.017,1
0.677,0.66,-0.017,0.351,0.34,-0.011,0
0.608,0.625,0.017,0.417,0.375,-0.042,0
0.51,0.522,0.012,0.515,0.478,-0.037,1
0.559,0.493,-0.066,0.472,0.507,0.035,1
0.457,0.481,0.024,0.573,0.519,-0.054,1
0.339,0.354,0.015,0.688,0.646,-0.042,0
0.595,0.515,-0.08,0.431,0.485,0.054,1
0.561,0.602,0.041,0.469,0.398,-0.071,1
0.585,0.583,-0.002,0.442,0.417,-0.025,0
0.42,0.391,-0.029,0.605,0.609,0.004,1
0.569,0.541,-0.028,0.461,0.459,-0.002,0
0.426,0.414,-0.012,0.6,0.586,-0.014,0
0.539,0.498,-0.041,0.483,0.502,0.019,1
0.667,0.665,-0.002,0.364,0.335,-0.029,0
0.548,0.543,-0.005,0.474,0.457,-0.017,0
0.554,0.53,-0.024,0.467,0.47,0.003,0
0.505,0.497,-0.008,0.519,0.503,-0.016,1
0.476,0.471,-0.005,0.545,0.529,-0.016,1
0.661,0.659,-0.002,0.364,0.341,-0.023,0
0.4,0.379,-0.021,0.63,0.621,-0.009,0
0.412,0.405,-0.007,0.612,0.595,-0.017,0
0.485,0.485,0,0.537,0.515,-0.022,0
0.556,0.484,-0.072,0.476,0.516,0.04,1
0.467,0.451,-0.016,0.554,0.549,-0.005,0
0.469,0.564,0.095,0.552,0.436,-0.116,1
0.437,0.416,-0.021,0.59,0.584,-0.006,0
0.435,0.4,-0.035,0.592,0.6,0.008,1
0.631,0.645,0.014,0.398,0.355,-0.043,0
0.545,0.517,-0.028,0.476,0.483,0.007,0
0.472,0.454,-0.018,0.55,0.546,-0.004,0
0.722,0.713,-0.009,0.303,0.287,-0.016,1
0.388,0.352,-0.036,0.64,0.648,0.008,1
0.515,0.507,-0.008,0.51,0.493,-0.017,0
0.592,0.6,0.008,0.435,0.4,-0.035,1
0.429,0.418,-0.011,0.597,0.582,-0.015,0
0.323,0.347,0.024,0.706,0.653,-0.053,0
0.597,0.588,-0.009,0.429,0.412,-0.017,0
0.493,0.53,0.037,0.531,0.47,-0.061,0
0.442,0.403,-0.039,0.585,0.597,0.012,1
0.559,0.534,-0.025,0.472,0.466,-0.006,0
0.485,0.436,-0.049,0.537,0.564,0.027,1
0.502,0.473,-0.029,0.522,0.527,0.005,1
0.483,0.449,-0.034,0.539,0.551,0.012,0
0.571,0.549,-0.022,0.459,0.451,-0.008,1
0.383,0.369,-0.014,0.644,0.631,-0.013,1
0.597,0.598,0.001,0.429,0.402,-0.027,0
0.592,0.568,-0.024,0.435,0.432,-0.003,0
0.661,0.628,-0.033,0.364,0.372,0.008,0
0.531,0.548,0.017,0.493,0.452,-0.041,0
0.59,0.603,0.013,0.437,0.397,-0.04,0
0.422,0.403,-0.019,0.603,0.597,-0.006,0
0.469,0.444,-0.025,0.561,0.556,-0.005,0
0.535,0.52,-0.015,0.488,0.48,-0.008,0
0.457,0.39,-0.067,0.573,0.61,0.037,0
0.563,0.551,-0.012,0.467,0.449,-0.018,0
0.569,0.531,-0.038,0.461,0.469,0.008,1
0.612,0.646,0.034,0.412,0.354,-0.058,0
0.474,0.437,-0.037,0.548,0.563,0.015,1
0.655,0.7,0.045,0.37,0.3,-0.07,1
0.617,0.608,-0.009,0.415,0.392,-0.023,1
0.587,0.6,0.013,0.441,0.4,-0.041,0
0.59,0.587,-0.003,0.437,0.413,-0.024,1
0.474,0.482,0.008,0.558,0.518,-0.04,1
0.382,0.379,-0.003,0.645,0.621,-0.024,0
0.545,0.549,0.004,0.476,0.451,-0.025,0
0.5,0.472,-0.028,0.524,0.528,0.004,1
0.631,0.642,0.011,0.398,0.358,-0.04,0
0.554,0.526,-0.028,0.467,0.474,0.007,1
0.395,0.394,-0.001,0.634,0.606,-0.028,1
0.644,0.609,-0.035,0.383,0.391,0.008,0
0.677,0.66,-0.017,0.351,0.34,-0.011,0
0.605,0.628,0.023,0.42,0.372,-0.048,1
0.437,0.435,-0.002,0.59,0.565,-0.025,0
0.563,0.547,-0.016,0.467,0.453,-0.014,0
0.647,0.646,-0.001,0.38,0.354,-0.026,0
0.63,0.623,-0.007,0.4,0.377,-0.023,1
0.461,0.458,-0.003,0.569,0.542,-0.027,1
0.488,0.509,0.021,0.535,0.491,-0.044,1
0.645,0.626,-0.019,0.382,0.374,-0.008,0
0.697,0.718,0.021,0.328,0.282,-0.046,0
0.595,0.585,-0.01,0.431,0.415,-0.016,0
0.478,0.469,-0.009,0.543,0.531,-0.012,1
0.398,0.38,-0.018,0.631,0.62,-0.011,1
0.71,0.725,0.015,0.317,0.275,-0.042,0
0.647,0.644,-0.003,0.38,0.356,-0.024,1
0.552,0.587,0.035,0.469,0.413,-0.056,1
0.63,0.617,-0.013,0.4,0.383,-0.017,0
0.677,0.665,-0.012,0.351,0.335,-0.016,0
0.611,0.605,-0.006,0.413,0.395,-0.018,0
0.552,0.562,0.01,0.469,0.438,-0.031,1
0.688,0.622,-0.066,0.338,0.378,0.04,0
0.571,0.559,-0.012,0.459,0.441,-0.018,1
0.583,0.567,-0.016,0.444,0.433,-0.011,1
0.73,0.727,-0.003,0.299,0.273,-0.026,1
0.688,0.666,-0.022,0.338,0.334,-0.004,1
0.535,0.527,-0.008,0.488,0.473,-0.015,0
0.59,0.596,0.006,0.437,0.404,-0.033,1
0.417,0.429,0.012,0.608,0.571,-0.037,1
0.444,0.41,-0.034,0.583,0.59,0.007,0
0.643,0.672,0.029,0.385,0.328,-0.057,0
0.522,0.481,-0.041,0.502,0.519,0.017,0
0.585,0.576,-0.009,0.442,0.424,-0.018,1
0.611,0.588,-0.023,0.413,0.412,-0.001,1
0.439,0.465,0.026,0.588,0.535,-0.053,1
0.583,0.448,-0.135,0.444,0.552,0.108,0
0.556,0.536,-0.02,0.476,0.464,-0.012,0
0.476,0.448,-0.028,0.556,0.552,-0.004,0
0.49,0.426,-0.064,0.533,0.574,0.041,0
0.632,0.619,-0.013,0.397,0.381,-0.016,0
0.786,0.74,-0.046,0.239,0.26,0.021,0
0.476,0.421,-0.055,0.556,0.579,0.023,0
0.431,0.433,0.002,0.595,0.567,-0.028,0
0.63,0.631,0.001,0.4,0.369,-0.031,0
0.446,0.41,-0.036,0.582,0.59,0.008,1
0.688,0.707,0.019,0.339,0.293,-0.046,0
0.548,0.514,-0.034,0.474,0.486,0.012,1
0.583,0.598,0.015,0.444,0.402,-0.042,0
0.667,0.671,0.004,0.364,0.329,-0.035,0
0.531,0.545,0.014,0.493,0.455,-0.038,0
0.697,0.677,-0.02,0.328,0.323,-0.005,1
0.467,0.403,-0.064,0.554,0.597,0.043,1
0.469,0.443,-0.026,0.552,0.557,0.005,0
0.483,0.437,-0.046,0.539,0.563,0.024,1
0.481,0.409,-0.072,0.541,0.591,0.05,1
0.493,0.5,0.007,0.531,0.5,-0.031,1
0.597,0.609,0.012,0.429,0.391,-0.038,0
0.649,0.65,0.001,0.377,0.35,-0.027,1
0.424,0.399,-0.025,0.602,0.601,-0.001,1
0.433,0.442,0.009,0.593,0.558,-0.035,1
0.697,0.688,-0.009,0.328,0.312,-0.016,0
0.634,0.619,-0.015,0.395,0.381,-0.014,0
0.636,0.629,-0.007,0.392,0.371,-0.021,0
0.435,0.403,-0.032,0.592,0.597,0.005,0
0.595,0.605,0.01,0.431,0.395,-0.036,0
0.614,0.587,-0.027,0.41,0.413,0.003,0
0.537,0.533,-0.004,0.485,0.467,-0.018,1
0.467,0.437,-0.03,0.563,0.563,0,0
0.587,0.568,-0.019,0.441,0.432,-0.009,0
0.592,0.598,0.006,0.435,0.402,-0.033,1
0.545,0.534,-0.011,0.476,0.466,-0.01,0
0.554,0.514,-0.04,0.467,0.486,0.019,1
0.569,0.552,-0.017,0.461,0.448,-0.013,1
0.554,0.468,-0.086,0.467,0.532,0.065,0
0.6,0.603,0.003,0.426,0.397,-0.029,1
0.543,0.55,0.007,0.478,0.45,-0.028,1
0.618,0.478,-0.14,0.413,0.522,0.109,0
0.726,0.66,-0.066,0.303,0.34,0.037,0
0.338,0.332,-0.006,0.688,0.668,-0.02,0
0.535,0.534,-0.001,0.488,0.466,-0.022,0
0.571,0.556,-0.015,0.459,0.444,-0.015,0
0.539,0.539,0,0.483,0.461,-0.022,0
0.554,0.557,0.003,0.467,0.443,-0.024,0
0.701,0.69,-0.011,0.328,0.31,-0.018,1
0.502,0.513,0.011,0.522,0.487,-0.035,1
0.598,0.583,-0.015,0.427,0.417,-0.01,1
0.476,0.48,0.004,0.545,0.52,-0.025,1
0.585,0.631,0.046,0.442,0.369,-0.073,1
0.644,0.65,0.006,0.383,0.35,-0.033,1
0.733,0.715,-0.018,0.294,0.285,-0.009,0
0.592,0.578,-0.014,0.435,0.422,-0.013,0
0.672,0.676,0.004,0.357,0.324,-0.033,1
0.364,0.364,0,0.667,0.636,-0.031,0
0.563,0.546,-0.017,0.467,0.454,-0.013,0
0.643,0.645,0.002,0.385,0.355,-0.03,0
0.722,0.716,-0.006,0.303,0.284,-0.019,1
0.459,0.424,-0.035,0.571,0.576,0.005,1
0.583,0.593,0.01,0.444,0.407,-0.037,1
0.556,0.548,-0.008,0.476,0.452,-0.024,1
0.636,0.623,-0.013,0.392,0.377,-0.015,1
0.558,0.543,-0.015,0.474,0.457,-0.017,0
0.554,0.562,0.008,0.467,0.438,-0.029,0
0.543,0.55,0.007,0.478,0.45,-0.028,1
0.659,0.614,-0.045,0.366,0.386,0.02,1
0.621,0.597,-0.024,0.41,0.403,-0.007,1
0.592,0.57,-0.022,0.435,0.43,-0.005,0
0.605,0.582,-0.023,0.42,0.418,-0.002,1
0.744,0.724,-0.02,0.282,0.276,-0.006,0
0.615,0.622,0.007,0.417,0.378,-0.039,1
0.608,0.569,-0.039,0.417,0.431,0.014,1
0.567,0.543,-0.024,0.463,0.457,-0.006,0
0.476,0.463,-0.013,0.545,0.537,-0.008,1
0.706,0.779,0.073,0.323,0.221,-0.102,1
0.598,0.584,-0.014,0.427,0.416,-0.011,1
0.638,0.642,0.004,0.391,0.358,-0.033,0
0.389,0.387,-0.002,0.639,0.613,-0.026,0
0.592,0.617,0.025,0.435,0.383,-0.052,0
0.476,0.409,-0.067,0.545,0.591,0.046,0
0.498,0.474,-0.024,0.526,0.526,0,1
0.649,0.652,0.003,0.377,0.348,-0.029,1
0.412,0.396,-0.016,0.612,0.604,-0.008,0
0.465,0.421,-0.044,0.565,0.579,0.014,0
0.701,0.703,0.002,0.328,0.297,-0.031,0
0.417,0.412,-0.005,0.615,0.588,-0.027,1
0.541,0.495,-0.046,0.481,0.505,0.024,1
0.592,0.595,0.003,0.435,0.405,-0.03,0
0.548,0.562,0.014,0.474,0.438,-0.036,0
0.602,0.569,-0.033,0.424,0.431,0.007,0
0.429,0.384,-0.045,0.597,0.616,0.019,0
0.561,0.552,-0.009,0.469,0.448,-0.021,0
0.469,0.453,-0.016,0.552,0.547,-0.005,0
0.391,0.383,-0.008,0.638,0.617,-0.021,1
0.63,0.635,0.005,0.4,0.365,-0.035,0
0.559,0.536,-0.023,0.472,0.464,-0.008,0
0.573,0.587,0.014,0.457,0.413,-0.044,1
0.49,0.468,-0.022,0.533,0.532,-0.001,0
0.392,0.365,-0.027,0.636,0.635,-0.001,0
0.583,0.604,0.021,0.444,0.396,-0.048,1
0.472,0.487,0.015,0.55,0.513,-0.037,0
0.683,0.677,-0.006,0.345,0.323,-0.022,1
0.643,0.54,-0.103,0.385,0.46,0.075,0
0.543,0.544,0.001,0.478,0.456,-0.022,0
0.552,0.597,0.045,0.469,0.403,-0.066,1
0.615,0.6,-0.015,0.417,0.4,-0.017,0
0.569,0.497,-0.072,0.461,0.503,0.042,0
0.545,0.517,-0.028,0.476,0.483,0.007,0
0.481,0.469,-0.012,0.541,0.531,-0.01,0
0.692,0.668,-0.024,0.333,0.332,-0.001,1
0.483,0.485,0.002,0.539,0.515,-0.024,0
0.667,0.664,-0.003,0.364,0.336,-0.028,0
0.459,0.44,-0.019,0.571,0.56,-0.011,0
0.431,0.398,-0.033,0.595,0.602,0.007,0
0.483,0.485,0.002,0.539,0.515,-0.024,0
0.639,0.614,-0.025,0.389,0.386,-0.003,0
0.469,0.432,-0.037,0.561,0.568,0.007,1
0.63,0.603,-0.027,0.4,0.397,-0.003,1
0.483,0.439,-0.044,0.539,0.561,0.022,0
0.667,0.667,0,0.364,0.333,-0.031,0
0.42,0.395,-0.025,0.605,0.605,0,0
0.558,0.542,-0.016,0.474,0.458,-0.016,0
0.565,0.522,-0.043,0.465,0.478,0.013,0
0.552,0.602,0.05,0.469,0.398,-0.071,1
0.541,0.523,-0.018,0.481,0.477,-0.004,0
0.643,0.553,-0.09,0.385,0.447,0.062,0
0.345,0.367,0.022,0.683,0.633,-0.05,1
0.512,0.479,-0.033,0.512,0.521,0.009,0
0.556,0.507,-0.049,0.476,0.493,0.017,1
0.688,0.685,-0.003,0.339,0.315,-0.024,1
0.512,0.543,0.031,0.512,0.457,-0.055,0
0.565,0.559,-0.006,0.465,0.441,-0.024,1
0.472,0.423,-0.049,0.55,0.577,0.027,1
0.303,0.365,0.062,0.722,0.635,-0.087,0
0.394,0.375,-0.019,0.635,0.625,-0.01,1
0.413,0.397,-0.016,0.611,0.603,-0.008,0
0.488,0.473,-0.015,0.535,0.527,-0.008,0
0.441,0.425,-0.016,0.587,0.575,-0.012,0
0.472,0.468,-0.004,0.55,0.532,-0.018,1
0.49,0.498,0.008,0.533,0.502,-0.031,1
0.474,0.396,-0.078,0.558,0.604,0.046,0
0.677,0.655,-0.022,0.351,0.345,-0.006,1
0.539,0.549,0.01,0.483,0.451,-0.032,1
0.606,0.608,0.002,0.418,0.392,-0.026,0
0.62,0.624,0.004,0.412,0.376,-0.036,1
0.6,0.594,-0.006,0.426,0.406,-0.02,0
0.4,0.392,-0.008,0.63,0.608,-0.022,0
0.526,0.5,-0.026,0.498,0.5,0.002,0
0.697,0.702,0.005,0.328,0.298,-0.03,0
0.355,0.399,0.044,0.674,0.601,-0.073,1
0.467,0.461,-0.006,0.554,0.539,-0.015,0
0.364,0.38,0.016,0.667,0.62,-0.047,0
0.481,0.484,0.003,0.541,0.516,-0.025,0
0.442,0.426,-0.016,0.585,0.574,-0.011,1
0.512,0.542,0.03,0.512,0.458,-0.054,0
0.528,0.551,0.023,0.495,0.449,-0.046,0
0.643,0.625,-0.018,0.385,0.375,-0.01,1
0.585,0.578,-0.007,0.442,0.422,-0.02,0
0.592,0.601,0.009,0.435,0.399,-0.036,0
0.522,0.519,-0.003,0.502,0.481,-0.021,1
0.554,0.542,-0.012,0.467,0.458,-0.009,0
0.483,0.486,0.003,0.539,0.514,-0.025,0
0.51,0.502,-0.008,0.515,0.498,-0.017,0
0.427,0.411,-0.016,0.598,0.589,-0.009,0
0.483,0.467,-0.016,0.539,0.533,-0.006,1
0.469,0.471,0.002,0.561,0.529,-0.032,0
0.4,0.359,-0.041,0.63,0.641,0.011,1
0.608,0.589,-0.019,0.417,0.411,-0.006,0
0.563,0.555,-0.008,0.467,0.445,-0.022,0
0.552,0.525,-0.027,0.469,0.475,0.006,1
0.541,0.498,-0.043,0.481,0.502,0.021,1
0.559,0.543,-0.016,0.472,0.457,-0.015,1
0.495,0.506,0.011,0.528,0.494,-0.034,1
0.444,0.4,-0.044,0.583,0.6,0.017,1
0.59,0.599,0.009,0.437,0.401,-0.036,1
0.612,0.607,-0.005,0.412,0.393,-0.019,0
0.615,0.63,0.015,0.417,0.37,-0.047,0
0.697,0.665,-0.032,0.328,0.335,0.007,0
0.472,0.381,-0.091,0.55,0.619,0.069,1
0.537,0.552,0.015,0.485,0.448,-0.037,0
0.512,0.532,0.02,0.512,0.468,-0.044,1
0.531,0.527,-0.004,0.493,0.473,-0.02,0
0.565,0.572,0.007,0.465,0.428,-0.037,1
0.483,0.47,-0.013,0.539,0.53,-0.009,1
0.639,0.643,0.004,0.389,0.357,-0.032,0
0.417,0.39,-0.027,0.608,0.61,0.002,1
0.688,0.699,0.011,0.339,0.301,-0.038,0
0.597,0.598,0.001,0.429,0.402,-0.027,0
0.345,0.302,-0.043,0.683,0.698,0.015,1
0.583,0.549,-0.034,0.444,0.451,0.007,1
0.565,0.566,0.001,0.465,0.434,-0.031,0
0.683,0.655,-0.028,0.345,0.345,0,1
0.706,0.698,-0.008,0.323,0.302,-0.021,1
0.539,0.546,0.007,0.483,0.454,-0.029,0
0.561,0.563,0.002,0.469,0.437,-0.032,1
0.524,0.517,-0.007,0.5,0.483,-0.017,0
0.364,0.379,0.015,0.661,0.621,-0.04,1
0.585,0.57,-0.015,0.442,0.43,-0.012,0
0.431,0.428,-0.003,0.595,0.572,-0.023,0
0.593,0.602,0.009,0.433,0.398,-0.035,1
0.418,0.427,0.009,0.606,0.573,-0.033,0
0.483,0.464,-0.019,0.539,0.536,-0.003,0
0.526,0.509,-0.017,0.498,0.491,-0.007,0
0.356,0.289,-0.067,0.673,0.711,0.038,1
0.649,0.669,0.02,0.377,0.331,-0.046,0
0.636,0.661,0.025,0.392,0.339,-0.053,1
0.444,0.402,-0.042,0.583,0.598,0.015,0
0.672,0.654,-0.018,0.357,0.346,-0.011,1
0.592,0.604,0.012,0.435,0.396,-0.039,1
0.554,0.552,-0.002,0.467,0.448,-0.019,0
0.522,0.516,-0.006,0.502,0.484,-0.018,1
0.5,0.501,0.001,0.524,0.499,-0.025,0
0.558,0.547,-0.011,0.474,0.453,-0.021,1
0.4,0.38,-0.02,0.63,0.62,-0.01,1
0.469,0.455,-0.014,0.552,0.545,-0.007,1
0.418,0.4,-0.018,0.606,0.6,-0.006,0
0.563,0.546,-0.017,0.467,0.454,-0.013,0
0.465,0.424,-0.041,0.565,0.576,0.011,1
0.385,0.328,-0.057,0.643,0.672,0.029,1
0.498,0.494,-0.004,0.526,0.506,-0.02,0
0.59,0.595,0.005,0.437,0.405,-0.032,1
0.618,0.587,-0.031,0.413,0.413,0,1
0.662,0.64,-0.022,0.362,0.36,-0.002,0
0.726,0.729,0.003,0.303,0.271,-0.032,0
0.605,0.574,-0.031,0.42,0.426,0.006,0
0.474,0.436,-0.038,0.558,0.564,0.006,0
0.422,0.409,-0.013,0.603,0.591,-0.012,0
0.573,0.583,0.01,0.457,0.417,-0.04,0
0.467,0.451,-0.016,0.554,0.549,-0.005,1
0.609,0.589,-0.02,0.415,0.411,-0.004,0
0.517,0.512,-0.005,0.507,0.488,-0.019,0
0.571,0.59,0.019,0.459,0.41,-0.049,1
0.545,0.536,-0.009,0.476,0.464,-0.012,1
0.667,0.676,0.009,0.364,0.324,-0.04,1
0.683,0.682,-0.001,0.345,0.318,-0.027,0
0.667,0.673,0.006,0.364,0.327,-0.037,1
0.609,0.605,-0.004,0.415,0.395,-0.02,0
0.461,0.414,-0.047,0.569,0.586,0.017,1
0.431,0.376,-0.055,0.595,0.624,0.029,1
0.444,0.405,-0.039,0.583,0.595,0.012,0
0.543,0.547,0.004,0.478,0.453,-0.025,0
0.505,0.484,-0.021,0.519,0.516,-0.003,1
0.643,0.618,-0.025,0.385,0.382,-0.003,1
0.697,0.66,-0.037,0.328,0.34,0.012,0
0.495,0.422,-0.073,0.528,0.578,0.05,1
0.672,0.656,-0.016,0.357,0.344,-0.013,1
0.649,0.661,0.012,0.377,0.339,-0.038,1
0.533,0.489,-0.044,0.49,0.511,0.021,1
0.62,0.603,-0.017,0.412,0.397,-0.015,0
